*Frequency ;VOUTLOWPOWER-abs;VOUTLOWPOWER-phase (deg)
184.9842715;1.58E-07;9.09E-06
187.2978291;1.58E-07;9.09E-06
189.6403218;1.58E-07;9.09E-06
192.0121116;1.58E-07;9.09E-06
194.4135648;1.58E-07;9.09E-06
196.8450525;1.58E-07;9.09E-06
199.3069502;1.58E-07;9.09E-06
201.7996384;1.58E-07;9.09E-06
204.3235021;1.58E-07;9.09E-06
206.8789311;1.58E-07;9.09E-06
209.4663204;1.58E-07;9.09E-06
212.0860696;1.58E-07;9.09E-06
214.7385834;1.58E-07;9.09E-06
217.4242716;1.58E-07;9.10E-06
220.1435491;1.58E-07;9.10E-06
222.896836;1.59E-07;9.10E-06
225.6845577;1.59E-07;9.10E-06
228.5071448;1.59E-07;9.10E-06
231.3650333;1.59E-07;9.10E-06
234.2586649;1.59E-07;9.10E-06
237.1884865;1.59E-07;9.10E-06
240.1549507;1.59E-07;9.10E-06
243.1585158;1.59E-07;9.10E-06
246.1996458;1.59E-07;9.11E-06
249.2788106;1.59E-07;9.11E-06
252.3964858;1.59E-07;9.11E-06
255.5531531;1.59E-07;9.11E-06
258.7493002;1.59E-07;9.11E-06
261.9854207;1.59E-07;9.11E-06
265.2620147;1.59E-07;9.11E-06
268.5795884;1.59E-07;9.12E-06
271.9386542;1.59E-07;9.12E-06
275.3397311;1.59E-07;9.12E-06
278.7833445;1.59E-07;9.12E-06
282.2700264;1.59E-07;9.12E-06
285.8003155;1.59E-07;9.12E-06
289.3747572;1.59E-07;9.13E-06
292.9939036;1.59E-07;9.13E-06
296.6583139;1.59E-07;9.13E-06
300.3685541;1.59E-07;9.13E-06
304.1251975;1.59E-07;9.13E-06
307.9288244;1.59E-07;9.14E-06
311.7800225;1.59E-07;9.14E-06
315.6793866;1.59E-07;9.14E-06
319.6275192;1.59E-07;9.14E-06
323.6250302;1.59E-07;9.14E-06
327.6725373;1.59E-07;9.15E-06
331.7706656;1.59E-07;9.15E-06
335.9200483;1.59E-07;9.15E-06
340.1213264;1.59E-07;9.15E-06
344.375149;1.59E-07;9.16E-06
348.6821732;1.59E-07;9.16E-06
353.0430644;1.59E-07;9.16E-06
357.4584963;1.59E-07;9.16E-06
361.929151;1.59E-07;9.17E-06
366.4557193;1.59E-07;9.17E-06
371.0389003;1.59E-07;9.17E-06
375.6794022;1.59E-07;9.18E-06
380.3779418;1.59E-07;9.18E-06
385.135245;1.59E-07;9.18E-06
389.9520467;1.59E-07;9.19E-06
394.8290912;1.59E-07;9.19E-06
399.7671317;1.59E-07;9.19E-06
404.7669313;1.59E-07;9.20E-06
409.8292622;1.59E-07;9.20E-06
414.9549066;1.59E-07;9.21E-06
420.1446563;1.59E-07;9.21E-06
425.399313;1.59E-07;9.21E-06
430.7196886;1.59E-07;9.22E-06
436.106605;1.60E-07;9.22E-06
441.5608943;1.60E-07;9.23E-06
447.0833992;1.60E-07;9.23E-06
452.6749729;1.60E-07;9.24E-06
458.3364792;1.60E-07;9.24E-06
464.0687926;1.60E-07;9.25E-06
469.8727989;1.60E-07;9.25E-06
475.7493946;1.60E-07;9.26E-06
481.6994876;1.60E-07;9.26E-06
487.723997;1.60E-07;9.27E-06
493.8238537;1.60E-07;9.27E-06
500;1.60E-07;9.28E-06
506.25339;1.60E-07;9.28E-06
512.5849897;1.60E-07;9.29E-06
518.9957774;1.60E-07;9.30E-06
525.4867433;1.60E-07;9.30E-06
532.0588904;1.60E-07;9.31E-06
538.7132338;1.60E-07;9.31E-06
545.4508017;1.60E-07;9.32E-06
552.2726348;1.60E-07;9.33E-06
559.1797871;1.60E-07;9.34E-06
566.1733257;1.60E-07;9.34E-06
573.2543308;1.60E-07;9.35E-06
580.4238966;1.60E-07;9.36E-06
587.6831305;1.60E-07;9.37E-06
595.0331541;1.60E-07;9.37E-06
602.4751028;1.60E-07;9.38E-06
610.0101263;1.60E-07;9.39E-06
617.6393887;1.60E-07;9.40E-06
625.3640686;1.60E-07;9.41E-06
633.1853594;1.60E-07;9.42E-06
641.1044694;1.60E-07;9.43E-06
649.1226219;1.60E-07;9.44E-06
657.2410556;1.60E-07;9.45E-06
665.4610249;1.60E-07;9.46E-06
673.7837995;1.60E-07;9.47E-06
682.2106652;1.60E-07;9.48E-06
690.7429238;1.60E-07;9.49E-06
699.3818935;1.60E-07;9.50E-06
708.128909;1.60E-07;9.51E-06
716.9853214;1.60E-07;9.52E-06
725.952499;1.60E-07;9.53E-06
735.0318272;1.60E-07;9.54E-06
744.2247085;1.60E-07;9.56E-06
753.5325631;1.60E-07;9.57E-06
762.956829;1.60E-07;9.58E-06
772.4989622;1.60E-07;9.60E-06
782.1604367;1.59E-07;9.61E-06
791.9427451;1.59E-07;9.62E-06
801.8473988;1.59E-07;9.64E-06
811.8759277;1.59E-07;9.65E-06
822.0298813;1.59E-07;9.67E-06
832.3108281;1.59E-07;9.68E-06
842.7203564;1.59E-07;9.70E-06
853.2600745;1.59E-07;9.71E-06
863.9316104;1.59E-07;9.73E-06
874.736613;1.58E-07;9.75E-06
885.6767513;1.58E-07;9.76E-06
896.7537155;1.58E-07;9.78E-06
907.9692168;1.58E-07;9.80E-06
919.324988;1.58E-07;9.82E-06
930.8227833;1.57E-07;9.84E-06
942.464379;1.57E-07;9.86E-06
954.2515736;1.57E-07;9.88E-06
966.186188;1.57E-07;9.90E-06
978.270066;1.56E-07;9.92E-06
990.5050745;1.56E-07;9.94E-06
1002.893103;1.56E-07;9.96E-06
1015.436067;1.55E-07;9.98E-06
1028.135902;1.55E-07;1.00E-05
1040.994572;1.55E-07;1.00E-05
1054.014062;1.54E-07;1.01E-05
1067.196384;1.54E-07;1.01E-05
1080.543574;1.53E-07;1.01E-05
1094.057695;1.53E-07;1.01E-05
1107.740833;1.52E-07;1.02E-05
1121.595104;1.52E-07;1.02E-05
1135.622647;1.51E-07;1.02E-05
1149.82563;1.51E-07;1.02E-05
1164.206246;1.50E-07;1.03E-05
1178.766717;1.50E-07;1.03E-05
1193.509293;1.49E-07;1.03E-05
1208.436251;1.48E-07;1.04E-05
1223.549897;1.48E-07;1.04E-05
1238.852567;1.47E-07;1.04E-05
1254.346623;1.46E-07;1.04E-05
1270.03446;1.46E-07;1.05E-05
1285.918502;1.45E-07;1.05E-05
1302.001202;1.44E-07;1.05E-05
1318.285044;1.43E-07;1.06E-05
1334.772545;1.43E-07;1.06E-05
1351.466251;1.42E-07;1.07E-05
1368.368742;1.41E-07;1.07E-05
1385.482629;1.40E-07;1.07E-05
1402.810555;1.39E-07;1.08E-05
1420.355198;1.38E-07;1.08E-05
1438.119268;1.37E-07;1.09E-05
1456.105509;1.36E-07;1.09E-05
1474.316701;1.35E-07;1.09E-05
1492.755655;1.34E-07;1.10E-05
1511.425221;1.33E-07;1.10E-05
1530.328284;1.32E-07;1.11E-05
1549.467763;1.31E-07;1.11E-05
1568.846615;1.30E-07;1.12E-05
1588.467835;1.28E-07;1.12E-05
1608.334452;1.27E-07;1.13E-05
1628.449537;1.26E-07;1.13E-05
1648.816197;1.25E-07;1.14E-05
1669.437579;1.24E-07;1.14E-05
1690.316867;1.22E-07;1.15E-05
1711.457288;1.21E-07;1.15E-05
1732.862108;1.20E-07;1.16E-05
1754.534633;1.19E-07;1.16E-05
1776.478211;1.17E-07;1.17E-05
1798.696233;1.16E-07;1.18E-05
1821.192131;1.15E-07;1.18E-05
1843.969381;1.14E-07;1.19E-05
1867.0315;1.12E-07;1.19E-05
1890.382052;1.11E-07;1.20E-05
1914.024644;1.10E-07;1.21E-05
1937.962929;1.08E-07;1.21E-05
1962.200605;1.07E-07;1.22E-05
1986.741416;1.06E-07;1.23E-05
2011.589154;1.05E-07;1.24E-05
2036.747657;1.03E-07;1.24E-05
2062.220811;1.02E-07;1.25E-05
2088.012553;1.01E-07;1.26E-05
2114.126867;9.93E-08;1.27E-05
2140.567786;9.80E-08;1.27E-05
2167.339396;9.68E-08;1.28E-05
2194.445833;9.55E-08;1.29E-05
2221.891284;9.42E-08;1.30E-05
2249.67999;9.29E-08;1.31E-05
2277.816242;9.17E-08;1.31E-05
2306.304389;9.04E-08;1.32E-05
2335.14883;8.92E-08;1.33E-05
2364.354023;8.80E-08;1.34E-05
2393.924478;8.68E-08;1.35E-05
2423.864765;8.56E-08;1.36E-05
2454.179508;8.44E-08;1.37E-05
2484.873391;8.32E-08;1.38E-05
2515.951155;8.20E-08;1.39E-05
2547.417603;8.08E-08;1.40E-05
2579.277594;7.97E-08;1.41E-05
2611.536051;7.86E-08;1.42E-05
2644.197958;7.74E-08;1.43E-05
2677.26836;7.63E-08;1.44E-05
2710.752366;7.52E-08;1.45E-05
2744.655149;7.42E-08;1.47E-05
2778.981947;7.31E-08;1.48E-05
2813.738063;7.20E-08;1.49E-05
2848.928866;7.10E-08;1.50E-05
2884.559792;7.00E-08;1.51E-05
