*Frequency 	VF1-abs	VF1-phase (deg)	VOUTLOWNOISE-abs	VOUTLOWNOISE-phase (deg)	VOUTLOWPOWER-abs	VOUTLOWPOWER-phase (deg)
2,38701858626266	1,21754294667749E-7	6,97599755557435E-6	1,66423345387338E-7	5,90954233298542E-6	1,0314080108289E-7	8,47699003958554E-6
2,41687250239427	1,21228475892939E-7	6,94587042329108E-6	1,67742005572808E-7	5,87395277101203E-6	1,02519647383582E-7	8,53789665533454E-6
2,44709979488479	1,20706904022677E-7	6,91598662090068E-6	1,69055328109234E-7	5,83858989559116E-6	1,01902450108693E-7	8,59839295268589E-6
2,47770513347017	1,20189553248583E-7	6,88634466969478E-6	1,70363497850705E-7	5,80345233777451E-6	1,0128918536526E-7	8,65848779447035E-6
2,50869324628973	1,19676397873598E-7	6,85694309734343E-6	1,71666694303638E-7	5,76853873725755E-6	1,00679829412196E-7	8,71818974612748E-6
2,54006892061656	1,19167412313207E-7	6,82778043755972E-6	1,72965091891077E-7	5,73384774232874E-6	1,00074358657378E-7	8,77750708980375E-6
2,57183700359714	1,18662571087855E-7	6,79885523088498E-6	1,74258860201188E-7	5,6993780098143E-6	9,94727496582005E-8	8,83644783760848E-6
2,60400240300016	1,1816184882858E-7	6,77016602378829E-6	1,75548164221158E-7	5,66512820502617E-6	9,88749791199942E-8	8,89501974408815E-6
2,63657008797466	1,17665220276116E-7	6,7417113686238E-6	1,7683316455761E-7	5,63109700170858E-6	9,82810238957522E-8	8,95323031797494E-6
2,66954508981775	1,17172660274396E-7	6,71348982426333E-6	1,78114017644342E-7	5,59728308198711E-6	9,76908609842532E-8	9,01108683326041E-6
2,70293250275187	1,16684143771825E-7	6,68549995575983E-6	1,79390875938311E-7	5,5636851363156E-6	9,71044675299553E-8	9,06859633964126E-6
2,73673748471177	1,16199645824893E-7	6,65774033375959E-6	1,80663888104762E-7	5,53030186342687E-6	9,65218208205245E-8	9,12576567238021E-6
2,77096525814136	1,15719141592814E-7	6,63020953499488E-6	1,81933199192174E-7	5,49713197027559E-6	9,59428982896974E-8	9,18260146162155E-6
