*Frequency ;VOUTLOWNOISE-abs;
4.969746781;7.25E-08;
5.031902311;7.21E-08;
5.094835205;7.17E-08;
5.158555188;7.13E-08;
5.223072103;7.09E-08;
5.288395916;7.05E-08;
5.35453672;7.00E-08;
5.421504732;6.96E-08;
5.489310299;6.92E-08;
5.557963894;6.88E-08;
5.627476126;6.84E-08;
5.697857731;6.80E-08;
5.769119584;6.76E-08;
5.841272693;6.72E-08;
5.914328205;6.69E-08;
5.988297406;6.65E-08;
6.063191724;6.61E-08;
6.139022728;6.57E-08;
6.215802135;6.53E-08;
6.293541804;6.50E-08;
6.372253746;6.46E-08;
6.451950121;6.42E-08;
6.532643242;6.38E-08;
6.614345573;6.35E-08;
6.697069737;6.31E-08;
6.780828515;6.27E-08;
6.865634845;6.24E-08;
6.951501829;6.20E-08;
7.038442732;6.17E-08;
7.126470987;6.13E-08;
7.215600191;6.10E-08;
7.305844114;6.06E-08;
7.397216699;6.03E-08;
7.48973206;5.99E-08;
7.583404491;5.96E-08;
7.678248462;5.93E-08;
7.774278626;5.89E-08;
7.871509817;5.86E-08;
7.969957058;5.83E-08;
8.069635557;5.79E-08;
8.170560713;5.76E-08;
8.272748118;5.73E-08;
8.376213558;5.70E-08;
8.480973018;5.66E-08;
8.587042681;5.63E-08;
8.694438934;5.60E-08;
8.803178368;5.57E-08;
8.913277782;5.54E-08;
9.024754186;5.51E-08;
9.1376248;5.48E-08;
9.251907063;5.44E-08;
9.367618628;5.41E-08;
9.484777373;5.38E-08;
9.603401396;5.35E-08;
9.723509024;5.32E-08;
9.845118811;5.30E-08;
9.968249546;5.27E-08;
10.09292025;5.24E-08;
10.21915018;5.21E-08;
10.34695884;5.18E-08;
10.47636598;5.15E-08;
10.60739158;5.12E-08;
10.7400559;5.09E-08;
10.87437941;5.07E-08;
11.01038288;5.04E-08;
11.14808732;5.01E-08;
11.28751399;4.98E-08;
11.42868445;4.96E-08;
11.57162049;4.93E-08;
11.7163442;4.90E-08;
11.86287794;4.88E-08;
12.01124434;4.85E-08;
12.16146633;4.82E-08;
12.31356711;4.80E-08;
12.46757019;4.77E-08;
12.62349934;4.75E-08;
12.78137867;4.72E-08;
12.94123256;4.69E-08;
13.10308571;4.67E-08;
13.26696312;4.64E-08;
13.43289011;4.62E-08;
13.60089231;4.60E-08;
13.77099567;4.57E-08;
13.94322649;4.55E-08;
14.11761135;4.52E-08;
14.29417721;4.50E-08;
14.47295134;4.47E-08;
14.65396135;4.45E-08;
14.83723522;4.43E-08;
15.02280126;4.40E-08;
15.21068813;4.38E-08;
15.40092486;4.36E-08;
15.59354084;4.34E-08;
15.78856582;4.31E-08;
15.98602994;4.29E-08;
16.1859637;4.27E-08;
16.38839798;4.25E-08;
