*Frequency 	VOUTLOWNOISE-abs	VOUTLOWNOISE-phase (deg)
2,44709979488479	1,01909936910359E-7	5,83899969240071E-6
2,47770513347017	1,01296715149105E-7	5,80386474986625E-6
2,50869324628973	1,00687402432313E-7	5,76895377897287E-6
2,54006892061656	1,00081975169307E-7	5,73426542805692E-6
2,57183700359714	9,94804099184246E-8	5,69979835402138E-6
2,60400240300016	9,88826833861045E-8	5,66555122224543E-6
2,63657008797466	9,82887724259571E-8	5,63152270656856E-6
2,66954508981775	9,7698654037874E-8	5,59771148918317E-6
2,70293250275187	9,71123053671017E-8	5,5641162606284E-6
2,73673748471177	9,65297037033812E-8	5,53073571964856E-6
2,77096525814136	9,59508264799504E-8	5,49756857335711E-6
2,8056211108005	9,53756512727929E-8	5,46461353688997E-6
2,84071039658191	9,48041557996237E-8	5,4318693336225E-6
2,87623853633826	9,42363179190944E-8	5,39933469494119E-6
2,91221101871963	9,36721156298832E-8	5,3670083602647E-6
2,94863340102145	9,31115270698195E-8	5,33488907700228E-6
2,98551131004301	9,25545305150357E-8	5,30297560046943E-6
3,02285044295673	9,20011043791027E-8	5,27126669384768E-6
3,06065656818834	9,14512272121382E-8	5,23976112820331E-6
3,09893552630798	9,09048777000188E-8	5,20845768231933E-6
3,13769323093253	9,03620346635164E-8	5,17735514268228E-6
3,17693566963915	8,98226770573892E-8	5,14645230355896E-6
3,21666890489033	8,928678396965E-8	5,1157479667562E-6
3,25689907497045	8,87543346206714E-8	5,08524094169055E-6
3,29763239493405	8,82253083623496E-8	5,05493004535637E-6
3,33887515756598	8,76996846773283E-8	5,02481410219677E-6
3,38063373435358	8,71774431781738E-8	4,99489194407407E-6
3,42291457647099	8,66585636065139E-8	4,96516241030377E-6
3,46572421577573	8,61430258322589E-8	4,93562434755892E-6
3,50906926581786	8,56308098528554E-8	4,90627660972945E-6
3,55295642286165	8,5121895792382E-8	4,87711805805115E-6
3,59739246692004	8,46162639008226E-8	4,84814756094868E-6
3,64238426280214	8,41138945532761E-8	4,81936399399103E-6
3,6879387611737	8,36147682491319E-8	4,79076623990868E-6
3,73406299963092	8,31188656113387E-8	4,76235318847132E-6
3,78076410378766	8,26261673855973E-8	4,73412373649011E-6
3,82804928837627	8,21366544395589E-8	4,70607678781827E-6
3,87592585836217	8,16503077621514E-8	4,67821125316335E-6
3,92440121007238	8,11671084627007E-8	4,65052605021723E-6
3,97348283233814	8,06870377702614E-8	4,62302010347709E-6
4,02317830765186	8,02100770328059E-8	4,59569234428447E-6
4,07349531333852	7,97362077165187E-8	4,56854171071573E-6
4,12444162274172	7,92654114049675E-8	4,54156714765622E-6
4,17602510642453	7,87976697984989E-8	4,51476760656095E-6
4,22825373338545	7,83329647133391E-8	4,48814204563753E-6
4,28113557228947	7,78712780809784E-8	4,46168942963723E-6
4,33467879271461	7,74125919473985E-8	4,43540872987145E-6
4,38889166641401	7,69568884723189E-8	4,40929892420508E-6
4,44378256859378	7,65041499285427E-8	4,38335899692336E-6
4,49935997920692	7,60543587011253E-8	4,35758793883788E-6
4,55563248426331	7,56074972868252E-8	4,33198474702948E-6
4,61260877715618	7,51635482931987E-8	4,30654842505745E-6
4,67029766000512	7,47224944380648E-8	4,28127798269777E-6
4,72870804501588	7,42843185486709E-8	4,25617243606776E-6
