"Frequency","Magnitude Response@Bessel 2nd order","Magnitude Response@Butterworth 2nd order","Magnitude Response@Chebyshev 2nd order"
"41198.180466929654","-54.55646620206862","-58.750172388144776","-60.436518148455306"
"44271.88724235699","-55.80537385183101","-60.000170939736854","-61.68719008738423"
"47574.91660519548","-57.054428135225564","-61.250169853583806","-62.93777199252786"
"51124.3778156769","-58.30360934330361","-62.500169039083765","-64.18827592410382"
"54938.65661878308","-59.5529004224764","-63.75016842829479","-65.4387123277177"
"59037.51048000106","-60.802286615204125","-65.00016797026763","-66.68909025030447"
"63442.17092641095","-62.05175514968892","-66.25016762679567","-67.9394175272454"
"68175.45352322029","-63.30129497179508","-67.50016736922802","-69.1897009444938"
"73261.87605540866","-64.5508965133789","-68.75016717607951","-70.43994637903702"
"78727.78552664822","-65.80055149202961","-70.00016703123858","-71.69015892058141"
"84601.49463333789","-67.05025273792188","-71.2501669226232","-72.9403429769645"
"90913.42842066882","-68.29999404407904","-72.50016684117314","-74.19050236546616"
"97696.28188038045","-69.54977003685863","-73.75016678009422","-75.4406403919019"
"104985.18930654292","-70.79957606391184","-75.00016673429147","-76.69075991913029"
"112817.90628660648","-72.04940809724617","-76.25016669994427","-77.94086342639"
"121235.00527040809","-73.29926264934572","-77.5001666741875","-79.19095306069212"
"130280.0857301567","-74.54913670058268","-78.75016665487264","-80.44103068133074"
"139999.99999999875","-75.79902763639444","-80.00016664038854","-81.6910978984326"
"150445.0959649831","-77.04893319290878","-81.250166629527","-82.94115610634317"
"161669.4778565227","-78.29885140987722","-82.500166621382","-84.19120651254089"
"173731.28650523917","-79.54878058993278","-83.75016661527411","-85.44125016267759"
"186693.00050286367","-80.79871926331978","-85.00016661069382","-86.69128796226451"
"200621.75983317295","-82.04866615735999","-86.2501666072591","-87.94132069545259"
"215589.7136483269","-83.29862017001778","-87.50016660468344","-89.19134904129639"
"231674.39399204325","-84.54858034701331","-88.75016660275195","-90.44137358783891"
"248959.11740544686","-85.79854586200706","-90.00016660130353","-91.69139484430879"
"267533.41649585916","-87.04851599944307","-91.25016660021737","-92.94141325168316"
"287493.5037039977","-88.29849013969388","-92.50016659940287","-94.19142919183504"
"308942.7696718396","-89.54846774619803","-93.75016659879209","-95.44144299545462"
"331992.31879262853","-90.7984483543228","-95.00016659833405","-96.69145494890934"
"356761.54471710505","-92.0484315617206","-96.2501665979906","-97.94146530018406"
"383378.74879700685","-93.29841701997866","-97.50016659773301","-99.19147426402576"
